Product Local Name,Visa IDX - 45672555,Visa IDX  - 4567255,Visa IDX 1.4% - 45672557,Total Visa IDX products,Visa Business Prepaid - 44260108,Visa Corporate Deferred Debit  - 49359119,Visa Business Immediate Debit - BIN: 45672554
National Cashback Volume - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Payments Count - Month 1,0,0,0,999,0,0,0
International - Intra-Regional Payments Count - Month 2,0,0,0,999,0,0,0
International - Intra-Regional Payments Count - Month 3,0,0,0,999,0,0,0
International - Intra-Regional Payments Volume - Month 1,0,0,0,999,0,0,0
International - Intra-Regional Payments Volume - Month 2,0,0,0,999,0,0,0
International - Intra-Regional Payments Volume - Month 3,0,0,0,999,0,0,0
International - Intra-Regional Account Funding Transaction Count - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Account Funding Transaction Count - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Account Funding Transaction Count - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Account Funding Transaction Volume - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Account Funding Transaction Volume - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Account Funding Transaction Volume - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Count - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Count - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Count - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Volume - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Volume - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Original Credits Volume - Month 3,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Count - Month 1,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Count - Month 2,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Count - Month 3,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Volume - Month 1,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Volume - Month 2,0,0,0,0,0,0,0
International - Intra-Regional ATM Cash Advances Volume - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Count - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Count - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Count - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Volume - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Volume - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Manual Cash Volume - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Cashback Count - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Cashback Count - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Cashback Count - Month 3,0,0,0,0,0,0,0
International - Intra-Regional Cashback Volume - Month 1,0,0,0,0,0,0,0
International - Intra-Regional Cashback Volume - Month 2,0,0,0,0,0,0,0
International - Intra-Regional Cashback Volume - Month 3,0,0,0,0,0,0,0
International - Non-EEA Payments Count - Month 1,0,0,0,999,0,0,0
International - Non-EEA Payments Count - Month 2,0,0,0,999,0,0,0
International - Non-EEA Payments Count - Month 3,0,0,0,999,0,0,0
International - Non-EEA Payments Volume - Month 1,0,0,0,999,0,0,0
International - Non-EEA Payments Volume - Month 2,0,0,0,999,0,0,0
International - Non-EEA Payments Volume - Month 3,0,0,0,999,0,0,0
International - Non-EEA Account Funding Transaction Count - Month 1,0,0,0,0,0,0,0
International - Non-EEA Account Funding Transaction Count - Month 2,0,0,0,0,0,0,0
International - Non-EEA Account Funding Transaction Count - Month 3,0,0,0,0,0,0,0
International - Non-EEA Account Funding Transaction Volume - Month 1,0,0,0,0,0,0,0
International - Non-EEA Account Funding Transaction Volume - Month 2,0,0,0,0,0,0,0
International - Non-EEA Account Funding Transaction Volume - Month 3,0,0,0,0,0,0,0
International - Non-EEA Original Credits Count - Month 1,0,0,0,0,0,0,0
International - Non-EEA Original Credits Count - Month 2,0,0,0,0,0,0,0
International - Non-EEA Original Credits Count - Month 3,0,0,0,0,0,0,0
International - Non-EEA Original Credits Volume - Month 1,0,0,0,0,0,0,0
International - Non-EEA Original Credits Volume - Month 2,0,0,0,0,0,0,0
International - Non-EEA Original Credits Volume - Month 3,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Count - Month 1,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Count - Month 2,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Count - Month 3,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Volume - Month 1,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Volume - Month 2,0,0,0,0,0,0,0
International - Non-EEA ATM Cash Advances Volume - Month 3,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Count - Month 1,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Count - Month 2,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Count - Month 3,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Volume - Month 1,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Volume - Month 2,0,0,0,0,0,0,0
International - Non-EEA Manual Cash Volume - Month 3,0,0,0,0,0,0,0
International - Non-EEA Cashback Count - Month 1,0,0,0,0,0,0,0
International - Non-EEA Cashback Count - Month 2,0,0,0,0,0,0,0
International - Non-EEA Cashback Count - Month 3,0,0,0,0,0,0,0
International - Non-EEA Cashback Volume - Month 1,0,0,0,0,0,0,0
International - Non-EEA Cashback Volume - Month 2,0,0,0,0,0,0,0
International - Non-EEA Cashback Volume - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Payments Count - Month 1,0,0,0,999,0,0,0
International - Inter-Regional Payments Count - Month 2,0,0,0,999,0,0,0
International - Inter-Regional Payments Count - Month 3,0,0,0,999,0,0,0
International - Inter-Regional Payments Volume - Month 1,0,0,0,999,0,0,0
International - Inter-Regional Payments Volume - Month 2,0,0,0,999,0,0,0
International - Inter-Regional Payments Volume - Month 3,0,0,0,999,0,0,0
International - Inter-Regional Account Funding Transaction Count - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Account Funding Transaction Count - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Account Funding Transaction Count - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Account Funding Transaction Volume - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Account Funding Transaction Volume - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Account Funding Transaction Volume - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Count - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Count - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Count - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Volume - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Volume - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Original Credits Volume - Month 3,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Count - Month 1,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Count - Month 2,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Count - Month 3,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Volume - Month 1,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Volume - Month 2,0,0,0,0,0,0,0
International - Inter-Regional ATM Cash Advances Volume - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Count - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Count - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Count - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Volume - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Volume - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Manual Cash Volume - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Cashback Count - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Cashback Count - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Cashback Count - Month 3,0,0,0,0,0,0,0
International - Inter-Regional Cashback Volume - Month 1,0,0,0,0,0,0,0
International - Inter-Regional Cashback Volume - Month 2,0,0,0,0,0,0,0
International - Inter-Regional Cashback Volume - Month 3,0,0,0,0,0,0,0
Number of Cards - Magnetic Stripe,0,0,0,0,0,0,0
Number of Cards - Magnetic Stripe Chip,0,0,0,0,0,0,0
Number of Cards - Magnetic Stripe Contactless,0,0,0,0,0,0,0
Number of Cards - Magnetic Stripe Chip Contactless,0,0,0,0,0,0,0·
Number of Active Cards - used at Contactless device,0,0,0,0,0,0,0
Number of Devices with Visa Contactless - Micro Tags,0,0,0,0,0,0,0
Number of Devices with Visa Contactless - Mobile Phones,0,0,0,0,0,0,0
Number of Devices with Visa Contactless - Other Devices,0,0,0,0,0,0,0
Number of Accounts - Domestic Use Only,0,0,0,0,0,0,0·
Total Number of Active Accounts,0,0,0,0,0,0,0
Total Number of Personal Deposit Accounts,0,0,0,0,0,0,0
Number of Savings Accounts,0,0,0,0,0,0,0
Number of Regular Checking Accounts,0,0,0,0,0,0,0
Fraud Recoveries - Domestic - Cash Disbursements - Amount,,,,,,,
Fraud Recoveries - Domestic - Payments - Amount,,,,,,,
Fraud Recoveries - International - Cash Disbursements - Amount,,,,,,,
Fraud Recoveries - International - Payments - Amount,,,,,,,
Gross Fraud Losses - Number of Accounts,,,,,,,
Gross Fraud Losses - Number of Recovered Accounts,,,,,,,
Gross Fraud Losses - Domestic - Cash Disbursements - Count,,,,,,,
Gross Fraud Losses - Domestic - Cash Disbursements - Volume,,,,,,,
Gross Fraud Losses - Domestic - Payments - Count,,,,,,,
Gross Fraud Losses - Domestic - Payments - Volume,,,,,,,
Gross Fraud Losses - International - Cash Disbursements - Count,,,,,,,
Gross Fraud Losses - International - Cash Disbursements - Volume,,,,,,,
Gross Fraud Losses - International - Payments - Count,,,,,,,
Gross Fraud Losses - International - Payments - Volume,,,,,,,
Total Product Balance - Volume,0,0,0,0,0,0,0
Cash Transactions Declined for Insufficient Funds - Number,0,0,0,0,0,0,0
